,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,emotion
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,Apple,Positive emotion,pos
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",Apple,Positive emotion,pos
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android,Positive emotion,pos
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",Apple,Positive emotion,pos
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android,Positive emotion,neg
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",Apple,Positive emotion,neg
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",Apple,Positive emotion,pos
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Google,Positive emotion,pos
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,Apple,Positive emotion,neg
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android,Positive emotion,pos
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),Apple,Positive emotion,pos
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,Apple,Positive emotion,pos
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",Android,No emotion toward brand or product,neg
33,Anyone at  #sxsw want to sell their old iPad?,Apple,No emotion toward brand or product,neg
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,Apple,No emotion toward brand or product,pos
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Google,No emotion toward brand or product,neg
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,Apple,Positive emotion,neg
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,Apple,No emotion toward brand or product,pos
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,pos
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,Apple,No emotion toward brand or product,pos
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,neg
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",Android,No emotion toward brand or product,neg
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,Apple,No emotion toward brand or product,neg
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},Apple,No emotion toward brand or product,pos
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},Apple,No emotion toward brand or product,pos
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,Apple,Positive emotion,pos
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Apple,Positive emotion,neg
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,pos
48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,Google,No emotion toward brand or product,pos
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,pos
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,Apple,No emotion toward brand or product,pos
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",none,No emotion toward brand or product,pos
52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,none,No emotion toward brand or product,pos
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",none,No emotion toward brand or product,pos
54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,Google,No emotion toward brand or product,pos
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,pos
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",Google,No emotion toward brand or product,neg
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,Apple,Positive emotion,pos
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},Apple,No emotion toward brand or product,neg
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},Google,No emotion toward brand or product,pos
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,Apple,No emotion toward brand or product,pos
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Google,No emotion toward brand or product,pos
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,neg
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,neg
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,Apple,Negative emotion,pos
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,none,No emotion toward brand or product,pos
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,none,No emotion toward brand or product,pos
67,attending @mention iPad design headaches #sxsw {link},Apple,Negative emotion,pos
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Android,Negative emotion,pos
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},Apple,Positive emotion,pos
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Google,No emotion toward brand or product,neg
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,none,No emotion toward brand or product,pos
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,pos
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},none,No emotion toward brand or product,neg
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Google,No emotion toward brand or product,neg
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,neg
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,Apple,Positive emotion,neg
77,I worship @mention {link} #SXSW,none,No emotion toward brand or product,pos
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Apple,No emotion toward brand or product,pos
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",none,No emotion toward brand or product,pos
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,Apple,Positive emotion,pos
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Apple,Positive emotion,pos
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Apple,No emotion toward brand or product,pos
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,neg
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,pos
85,Stay tune @mention showcase #H4ckers {link} #SXSW,none,No emotion toward brand or product,pos
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},none,No emotion toward brand or product,pos
87,Thank you @mention for an awesome #sxsw party! {link},none,No emotion toward brand or product,pos
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",none,No emotion toward brand or product,pos
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,Apple,Positive emotion,neg
90,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,none,I can't tell,pos
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,none,No emotion toward brand or product,pos
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,Apple,Negative emotion,pos
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Apple,No emotion toward brand or product,pos
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,none,No emotion toward brand or product,pos
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",Apple,Positive emotion,neg
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},Apple,Positive emotion,pos
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",none,No emotion toward brand or product,pos
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,pos
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Google,No emotion toward brand or product,pos
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Google,No emotion toward brand or product,pos
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,Apple,Positive emotion,neg
102,ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,Apple,I can't tell,neg
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Apple,Negative emotion,neg
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,neg
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Google,No emotion toward brand or product,neg
106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,neg
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",Google,No emotion toward brand or product,neg
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},Apple,No emotion toward brand or product,pos
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,neg
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,Apple,No emotion toward brand or product,neg
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,pos
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Android,Positive emotion,pos
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",Apple,No emotion toward brand or product,pos
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",Apple,Positive emotion,neg
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Apple,No emotion toward brand or product,pos
116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,pos
117,"At #SXSW, #Apple schools the marketing experts {link}",Apple,No emotion toward brand or product,pos
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,neg
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,pos
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,pos
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,Apple,Positive emotion,neg
122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",none,No emotion toward brand or product,pos
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,Apple,No emotion toward brand or product,neg
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,Apple,Positive emotion,neg
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,Apple,No emotion toward brand or product,pos
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,Apple,Positive emotion,pos
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},Apple,Positive emotion,pos
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",Apple,Positive emotion,pos
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",Google,No emotion toward brand or product,pos
130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",none,No emotion toward brand or product,pos
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Google,Positive emotion,pos
132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,Google,No emotion toward brand or product,pos
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",Apple,No emotion toward brand or product,pos
134,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",Apple,No emotion toward brand or product,pos
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",Apple,Positive emotion,pos
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,pos
137,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,Google,No emotion toward brand or product,pos
138,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,Apple,No emotion toward brand or product,neg
139,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,Apple,No emotion toward brand or product,pos
140,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},Apple,No emotion toward brand or product,pos
141,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,Apple,No emotion toward brand or product,neg
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},Apple,Positive emotion,neg
143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,pos
144,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,Apple,No emotion toward brand or product,pos
145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,Apple,Positive emotion,neg
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,Apple,Positive emotion,pos
147,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,Apple,No emotion toward brand or product,pos
148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,Apple,No emotion toward brand or product,neg
149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,Apple,Positive emotion,neg
150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,Apple,Positive emotion,neg
151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,Apple,Positive emotion,neg
152,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,Google,No emotion toward brand or product,pos
153,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,Apple,No emotion toward brand or product,neg
154,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,Apple,No emotion toward brand or product,pos
155,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,Apple,No emotion toward brand or product,pos
156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,Apple,Positive emotion,pos
157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Apple,Positive emotion,pos
158,"More free #SXSW mp3 downloads, this time from iTunes: {link}",none,No emotion toward brand or product,pos
159,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,Google,No emotion toward brand or product,pos
160,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,Google,No emotion toward brand or product,pos
161,The Apple #SXSW store still has iPad 2's and short lines.,Apple,Positive emotion,pos
162,Essential #sxsw tools: {link},none,No emotion toward brand or product,pos
163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Google,Positive emotion,neg
164,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",Google,No emotion toward brand or product,pos
165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,Apple,No emotion toward brand or product,neg
166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,Apple,Positive emotion,neg
167,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),Apple,No emotion toward brand or product,pos
168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,neg
169,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,none,No emotion toward brand or product,pos
170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",Apple,Negative emotion,neg
171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,Apple,Positive emotion,pos
172,ipad2 and #sxsw...a conflagration of doofusness.  {link},Apple,Negative emotion,pos
173,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion,pos
174,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},Apple,Positive emotion,neg
175,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},none,No emotion toward brand or product,neg
176,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,Apple,No emotion toward brand or product,pos
177,This is a #WINNING picture #android #google #sxsw {link},Android,Positive emotion,pos
178,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,Google,No emotion toward brand or product,pos
179,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},Google,No emotion toward brand or product,pos
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",Apple,Negative emotion,neg
181,#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},Google,No emotion toward brand or product,pos
182,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,Apple,Positive emotion,pos
183,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,Apple,Positive emotion,pos
184,.@mention 1154 free songs from #SXSW (this year alone!) {link},none,No emotion toward brand or product,pos
185,more than 150 million mobile users for Google Maps for Mobile #SXSW,Google,No emotion toward brand or product,pos
186,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,Apple,No emotion toward brand or product,pos
187,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",Apple,No emotion toward brand or product,neg
188,÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,none,No emotion toward brand or product,pos
189,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,Apple,No emotion toward brand or product,neg
190,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",Apple,Negative emotion,neg
191,(The iPad 2 queue at #sxsw of course,Apple,No emotion toward brand or product,pos
192,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},Apple,Positive emotion,neg
193,many iPad 2's snapping away at the keynote slides! #sxsw,Apple,Positive emotion,neg
194,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,Apple,No emotion toward brand or product,pos
195,Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,Google,No emotion toward brand or product,pos
196,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,Apple,Positive emotion,pos
197,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},Apple,No emotion toward brand or product,pos
198,sweet new 3-d google maps demo going on in ballroom D #SXSW,Google,Positive emotion,pos
199,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Google,Positive emotion,pos
200,rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,Apple,No emotion toward brand or product,pos
201,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",Apple,No emotion toward brand or product,pos
202,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",Google,No emotion toward brand or product,pos
203,#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive emotion,pos
204,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",none,No emotion toward brand or product,neg
205,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",Apple,No emotion toward brand or product,neg
206,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android,Positive emotion,pos
207,We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,Google,No emotion toward brand or product,neg
208,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",Apple,No emotion toward brand or product,pos
209,ÛÏ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,Google,No emotion toward brand or product,pos
210,"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",Apple,No emotion toward brand or product,pos
211,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,Apple,Positive emotion,pos
212,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",Apple,No emotion toward brand or product,pos
213,Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,Apple,No emotion toward brand or product,pos
214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,Apple,Positive emotion,neg
215,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Google,No emotion toward brand or product,pos
216,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",Apple,No emotion toward brand or product,pos
